label	message	length	message_clean_tokens	message_clean
0	So Ì_ pay first lar... Then when is da stock comin...	53	['ì', 'pay', 'first', 'lar', 'stock', 'comin']	ì pay first lar stock comin
0	Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?	88	['aft', 'finish', 'lunch', 'go', 'str', 'ard', 'smth', 'finish', 'ur', 'lunch', 'alreadi']	aft finish lunch go str ard smth finish ur lunch alreadi
0	Ffffffffff. Alright no way I can meet up with you sooner?	57	['ffffffffff', 'alright', 'way', 'meet', 'sooner']	ffffffffff alright way meet sooner
0	Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol	144	['forc', 'eat', 'slice', 'realli', 'hungri', 'tho', 'suck', 'mark', 'get', 'worri', 'know', 'sick', 'turn', 'pizza', 'lol']	forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol
0	Lol your always so convincing.	30	['lol', 'alway', 'convinc']	lol alway convinc
0	Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?	134	['catch', 'bus', 'fri', 'egg', 'make', 'tea', 'eat', 'mom', 'left', 'dinner', 'feel', 'love']	catch bus fri egg make tea eat mom left dinner feel love
0	I'm back &amp; we're packing the car now, I'll let you know if there's room	75	['back', 'amp', 'pack', 'car', 'let', 'know', 'there', 'room']	back amp pack car let know there room
0	Ahhh. Work. I vaguely remember that! What does it feel like? Lol	64	['ahhh', 'work', 'vagu', 'rememb', 'feel', 'like', 'lol']	ahhh work vagu rememb feel like lol
0	Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us	130	['wait', 'that', 'still', 'clear', 'sure', 'sarcast', 'that', 'x', 'doesnt', 'live', 'us']	wait that still clear sure sarcast that x doesnt live us
0	Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 	189	['yeah', 'got', 'apologet', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'wont', 'go', 'bad', 'cheer']	yeah got apologet fallen actin like spoilt child got caught wont go bad cheer
0	K tell me anything about you.	29	['tell', 'anyth']	tell anyth
0	For fear of fainting with the of all that housework you just did? Quick have a cuppa	84	['fear', 'faint', 'housework', 'quick', 'cuppa']	fear faint housework quick cuppa
1	Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged	159	['thank', 'subscript', 'rington', 'uk', 'mobil', 'charg', 'å£', 'pleas', 'confirm', 'repli', 'yes', 'repli', 'charg']	thank subscript rington uk mobil charg å£ pleas confirm repli yes repli charg
0	Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am	123	['yup', 'ok', 'go', 'home', 'look', 'time', 'msg', 'ì', 'xuhui', 'go', 'learn', 'may', 'lesson']	yup ok go home look time msg ì xuhui go learn may lesson
0	Oops, I'll let you know when my roommate's done	47	['oop', 'let', 'know', 'roommat', 'done']	oop let know roommat done
0	I see the letter B on my car	28	['see', 'letter', 'b', 'car']	see letter b car
0	Anything lor... U decide...	27	['anyth', 'decid']	anyth decid
0	Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!	155	['hello', 'how', 'saturday', 'go', 'text', 'see', 'youd', 'decid', 'anyth', 'tomo', 'tri', 'invit', 'anyth']	hello how saturday go text see youd decid anyth tomo tri invit anyth
0	Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola	82	['pls', 'go', 'ahead', 'watt', 'want', 'sure', 'great', 'weekend', 'abiola']	pls go ahead watt want sure great weekend abiola
0	Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy	142	['forget', 'tell', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummi']	forget tell need crave love sweet arabian steed mmmmmm yummi
1	07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow	172	['rodger', 'burn', 'msg', 'tri', 'call', 'repli', 'sms', 'free', 'nokia', 'mobil', 'free', 'camcord', 'pleas', 'call', 'deliveri', 'tomorrow']	rodger burn msg tri call repli sms free nokia mobil free camcord pleas call deliveri tomorrow
0	WHO ARE YOU SEEING?	19	['see']	see
0	Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...	72	['great', 'hope', 'like', 'well', 'endow', 'ltgt', 'inch']	great hope like well endow ltgt inch
0	No calls..messages..missed calls	32	['callsmessagesmiss', 'call']	callsmessagesmiss call
0	Didn't you get hep b immunisation in nigeria.	45	['didnt', 'get', 'b', 'immunis', 'nigeria']	didnt get b immunis nigeria
0	Fair enough, anything going on?	31	['fair', 'enough', 'anyth', 'go']	fair enough anyth go
0	Yeah hopefully, if tyler can't do it I could maybe ask around a bit	67	['yeah', 'hope', 'tyler', 'cant', 'could', 'mayb', 'ask', 'around', 'bit']	yeah hope tyler cant could mayb ask around bit
0	U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.	148	['dont', 'know', 'stubborn', 'didnt', 'even', 'go', 'hospit', 'kept', 'tell', 'mark', 'weak', 'sucker', 'hospit', 'weak', 'sucker']	dont know stubborn didnt even go hospit kept tell mark weak sucker hospit weak sucker
0	What you thinked about me. First time you saw me in class.	58	['think', 'first', 'time', 'saw', 'class']	think first time saw class
0	A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;	124	['gram', 'usual', 'run', 'like', 'ltgt', 'half', 'eighth', 'smarter', 'though', 'get', 'almost', 'whole', 'second', 'gram', 'ltgt']	gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt
0	K fyi x has a ride early tomorrow morning but he's crashing at our place tonight	80	['fyi', 'x', 'ride', 'earli', 'tomorrow', 'morn', 'hes', 'crash', 'place', 'tonight']	fyi x ride earli tomorrow morn hes crash place tonight
0	"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."""	291	['wow', 'never', 'realiz', 'embarass', 'accomod', 'thought', 'like', 'sinc', 'best', 'could', 'alway', 'seem', 'happi', 'cave', 'sorri', 'didnt', 'dont', 'give', 'sorri', 'offer', 'sorri', 'room', 'embarass']	wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri didnt dont give sorri offer sorri room embarass
1	SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV	120	['sms', 'ac', 'sptv', 'new', 'jersey', 'devil', 'detroit', 'red', 'wing', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'repli', 'sptv']	sms ac sptv new jersey devil detroit red wing play ice hockey correct incorrect repli sptv
0	Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;	76	['know', 'mallika', 'sherawat', 'yesterday', 'find', 'lturlgt']	know mallika sherawat yesterday find lturlgt
1	Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! 	161	['congrat', 'year', 'special', 'cinema', 'pass', 'call', 'suprman', 'etc', 'free', 'dont', 'miss']	congrat year special cinema pass call suprman etc free dont miss
0	Sorry, I'll call later in meeting.	34	['sorri', 'call', 'later', 'meet']	sorri call later meet
0	Tell where you reached	22	['tell', 'reach']	tell reach
0	Yes..gauti and sehwag out of odi series.	40	['yesgauti', 'sehwag', 'odi', 'seri']	yesgauti sehwag odi seri
0	Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.	108	['gon', 'pick', 'burger', 'way', 'home', 'cant', 'even', 'move', 'pain', 'kill']	gon pick burger way home cant even move pain kill
0	Ha ha ha good joke. Girls are situation seekers.	48	['good', 'joke', 'girl', 'situat', 'seeker']	good joke girl situat seeker
0	Its a part of checking IQ	25	['part', 'check', 'iq']	part check iq
0	Sorry my roommates took forever, it ok if I come by now?	56	['sorri', 'roommat', 'took', 'forev', 'ok']	sorri roommat took forev ok
0	Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.	110	['ok', 'lar', 'doubl', 'check', 'wif', 'hair', 'dresser', 'alreadi', 'said', 'wun', 'cut', 'short', 'said', 'cut', 'look', 'nice']	ok lar doubl check wif hair dresser alreadi said wun cut short said cut look nice
1	As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589	153	['valu', 'custom', 'pleas', 'advis', 'follow', 'recent', 'review', 'mob', 'award', 'å£', 'bonus', 'prize', 'call']	valu custom pleas advis follow recent review mob award å£ bonus prize call
0	"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."""	124	['today', 'song', 'dedic', 'day', 'song', 'dedic', 'send', 'ur', 'valuabl', 'frnds', 'first', 'rpli']	today song dedic day song dedic send ur valuabl frnds first rpli
1	Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ	161	['urgent', 'ur', 'award', 'complimentari', 'trip', 'eurodisinc', 'trav', 'å£', 'claim', 'txt', 'dis', '£']	urgent ur award complimentari trip eurodisinc trav å£ claim txt dis £
1	"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!"""	80	['hear', 'new', 'divorc', 'barbi', 'come', 'ken', 'stuff']	hear new divorc barbi come ken stuff
0	I plane to give on this month end.	34	['plane', 'give', 'month']	plane give month
0	Wah lucky man... Then can save money... Hee...	46	['lucki', 'save', 'money', 'hee']	lucki save money hee
0	Finished class where are you.	29	['finish', 'class']	finish class
0	HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX	45	['hi', 'babe', 'home', 'wan', 'someth', 'xx']	hi babe home wan someth xx
0	K..k:)where are you?how did you performed?	42	['kkwhere', 'youhow', 'perform']	kkwhere youhow perform
0	U can call me now...	20	['call']	call
0	I am waiting machan. Call me once you free.	43	['wait', 'machan', 'call', 'free']	wait machan call free
0	Thats cool. i am a gentleman and will treat you with dignity and respect.	73	['that', 'cool', 'gentleman', 'treat', 'digniti', 'respect']	that cool gentleman treat digniti respect
0	I like you peoples very much:) but am very shy pa.	50	['like', 'peopl', 'much', 'shi']	like peopl much shi
0	Does not operate after  &lt;#&gt;  or what	42	['oper', 'ltgt']	oper ltgt
0	Its not the same here. Still looking for a job. How much do Ta's earn there.	76	['still', 'look', 'job', 'much', 'tas', 'earn']	still look job much tas earn
0	Sorry, I'll call later	22	['sorri', 'call', 'later']	sorri call later
0	K. Did you call me just now ah? 	32	['call', 'ah']	call ah
0	Ok i am on the way to home hi hi	32	['ok', 'way', 'home', 'hi', 'hi']	ok way home hi hi
0	You will be in the place of that man	36	['place']	place
0	Yup next stop.	14	['yup', 'next', 'stop']	yup next stop
0	I call you later, don't have network. If urgnt, sms me.	55	['call', 'later', 'dont', 'network', 'urgnt', 'sms']	call later dont network urgnt sms
0	For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.	121	['real', 'get', 'need', 'ticket', 'jacket', 'done', 'alreadi', 'use', 'multi']	real get need ticket jacket done alreadi use multi
0	Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.	144	['yes', 'start', 'send', 'request', 'make', 'pain', 'came', 'back', 'back', 'bed', 'doubl', 'coin', 'factori', 'got', 'cash', 'nitro']	yes start send request make pain came back back bed doubl coin factori got cash nitro
0	I'm really not up to it still tonight babe	42	['realli', 'still', 'tonight', 'babe']	realli still tonight babe
0	Ela kano.,il download, come wen ur free..	41	['kanoil', 'download', 'wen', 'ur', 'free']	kanoil download wen ur free
0	Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!	62	['yeah', 'don\x89û÷t', 'stand', 'close', 'tho', 'you\x89û÷ll', 'catch', 'someth']	yeah donû÷t stand close tho youû÷ll catch someth
0	Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 	195	['sorri', 'pain', 'ok', 'meet', 'anoth', 'night', 'spent', 'late', 'afternoon', 'casualti', 'mean', 'havent', 'done', 'includ', 'time', 'sheet', 'sorri']	sorri pain ok meet anoth night spent late afternoon casualti mean havent done includ time sheet sorri
0	Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!	141	['smile', 'pleasur', 'smile', 'pain', 'smile', 'troubl', 'pour', 'like', 'rain', 'smile', 'hurt', 'smile', 'becoz', 'someon', 'still', 'love', 'see', 'smile']	smile pleasur smile pain smile troubl pour like rain smile hurt smile becoz someon still love see smile
1	Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!	139	['pleas', 'call', 'custom', 'servic', 'repres', 'guarante', 'å£', 'cash', 'å£', 'prize']	pleas call custom servic repres guarante å£ cash å£ prize
0	Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?	107	['havent', 'plan', 'buy', 'later', 'check', 'alreadi', 'lido', 'got', 'show', 'afternoon', 'finish', 'work', 'alreadi']	havent plan buy later check alreadi lido got show afternoon finish work alreadi
1	"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML"	125	['free', 'rington', 'wait', 'collect', 'simpli', 'text', 'password', 'mix', 'verifi', 'get', 'usher', 'britney', 'fml']	free rington wait collect simpli text password mix verifi get usher britney fml
0	Watching telugu movie..wat abt u?	33	['watch', 'telugu', 'moviewat', 'abt']	watch telugu moviewat abt
0	i see. When we finish we have loads of loans to pay	51	['see', 'finish', 'load', 'loan', 'pay']	see finish load loan pay
0	"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham"""	184	['hi', 'wk', 'ok', 'hol', 'yes', 'bit', 'run', 'forgot', 'hairdress', 'appoint', 'four', 'need', 'get', 'home', 'shower', 'beforehand', 'caus', 'prob']	hi wk ok hol yes bit run forgot hairdress appoint four need get home shower beforehand caus prob
0	Please don't text me anymore. I have nothing else to say.	57	['pleas', 'dont', 'text', 'anymor', 'noth', 'els', 'say']	pleas dont text anymor noth els say
0	Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx	81	['okay', 'ur', 'price', 'long', 'legal', 'wen', 'pick', 'ave', 'x', 'am', 'xx']	okay ur price long legal wen pick ave x am xx
0	I'm still looking for a car to buy. And have not gone 4the driving test yet.	76	['still', 'look', 'car', 'buy', 'gone', 'drive', 'test', 'yet']	still look car buy gone drive test yet
0	As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune	160	['request', 'mell', 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', 'set', 'callertun', 'caller', 'press', 'copi', 'friend', 'callertun']	request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
0	wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.	183	['wow', 'your', 'right', 'didnt', 'mean', 'guess', 'gave', 'boston', 'chang', 'search', 'locat', 'nyc', 'someth', 'chang', 'cuz', 'signin', 'page', 'still', 'say', 'boston']	wow your right didnt mean guess gave boston chang search locat nyc someth chang cuz signin page still say boston
0	Umma my life and vava umma love you lot dear	44	['umma', 'life', 'vava', 'umma', 'love', 'lot', 'dear']	umma life vava umma love lot dear
0	Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.	95	['thank', 'lot', 'wish', 'birthday', 'thank', 'make', 'birthday', 'truli', 'memor']	thank lot wish birthday thank make birthday truli memor
0	Aight, I'll hit you up when I get some cash	43	['aight', 'hit', 'get', 'cash']	aight hit get cash
0	How would my ip address test that considering my computer isn't a minecraft server	82	['would', 'ip', 'address', 'test', 'consid', 'comput', 'isnt', 'minecraft', 'server']	would ip address test consid comput isnt minecraft server
0	I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...	115	['know', 'grumpi', 'old', 'peopl', 'mom', 'like', 'better', 'lie', 'alway', 'play', 'joke']	know grumpi old peopl mom like better lie alway play joke
0	Dont worry. I guess he's busy.	30	['dont', 'worri', 'guess', 'hes', 'busi']	dont worri guess hes busi
0	What is the plural of the noun research?	40	['plural', 'noun', 'research']	plural noun research
0	Going for dinner.msg you after.	31	['go', 'dinnermsg']	go dinnermsg
0	I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.	96	['ok', 'wif', 'cos', 'like', 'tri', 'new', 'thing', 'scare', 'dun', 'like', 'mah', 'cos', 'said', 'loud']	ok wif cos like tri new thing scare dun like mah cos said loud
1	GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm	159	['gent', 'tri', 'contact', 'last', 'weekend', 'draw', 'show', 'å£', 'prize', 'guarante', 'call', 'claim', 'code', 'valid']	gent tri contact last weekend draw show å£ prize guarante call claim code valid
0	Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?	143	['wa', 'ur', 'openin', 'sentenc', 'formal', 'anyway', 'fine', 'juz', 'tt', 'eatin', 'much', 'puttin', 'weighthaha', 'anythin', 'special', 'happen']	wa ur openin sentenc formal anyway fine juz tt eatin much puttin weighthaha anythin special happen
0	As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.	156	['enter', 'cabin', 'said', 'happi', 'bday', 'boss', 'felt', 'special', 'askd', 'lunch', 'lunch', 'invit', 'apart', 'went']	enter cabin said happi bday boss felt special askd lunch lunch invit apart went
1	You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 	153	['winner', 'special', 'select', 'receiv', 'å£', 'holiday', 'flight', 'inc', 'speak', 'live', 'oper', 'claim']	winner special select receiv å£ holiday flight inc speak live oper claim
0	Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 	72	['goodo', 'yes', 'must', 'speak', 'friday', 'eggpotato', 'ratio', 'tortilla', 'need']	goodo yes must speak friday eggpotato ratio tortilla need
0	Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.	86	['hmmmi', 'uncl', 'inform', 'hes', 'pay', 'school', 'direct', 'pls', 'buy', 'food']	hmmmi uncl inform hes pay school direct pls buy food
1	PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires	144	['privat', 'account', 'statement', 'show', 'unredeem', 'bonus', 'point', 'claim', 'call', 'identifi', 'code', 'expir']	privat account statement show unredeem bonus point claim call identifi code expir
1	URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM	157	['urgent', 'mobil', 'award', 'å£', 'bonus', 'caller', 'prize', 'final', 'tri', 'contact', 'call', 'landlin']	urgent mobil award å£ bonus caller prize final tri contact call landlin
0	here is my new address -apples&pairs&all that malarky	53	['new', 'address', 'applespairsal', 'malarki']	new address applespairsal malarki
1	Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app	156	['today', 'voda', 'number', 'end', 'select', 'receiv', 'award', 'match', 'pleas', 'call', 'quot', 'claim', 'code', 'standard', 'rate', 'app']	today voda number end select receiv award match pleas call quot claim code standard rate app
0	I am going to sao mu today. Will be done only at 12 	52	['go', 'sao', 'today', 'done']	go sao today done
0	ÌÏ predict wat time Ì_'ll finish buying?	40	['ìï', 'predict', 'time', 'ìll', 'finish', 'buy']	ìï predict time ìll finish buy
0	Good stuff, will do.	20	['good', 'stuff']	good stuff
0	Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.	244	['knowyetund', 'hasnt', 'sent', 'money', 'yet', 'sent', 'text', 'bother', 'send', 'dont', 'involv', 'anyth', 'shouldnt', 'impos', 'anyth', 'first', 'place', 'apologis']	knowyetund hasnt sent money yet sent text bother send dont involv anyth shouldnt impos anyth first place apologis
0	Are you there in room.	22	['room']	room
0	HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx	107	['hey', 'girl', 'r', 'hope', 'r', 'well', 'r', 'bak', 'long', 'time', 'give', 'call', 'sum', 'time', 'lucyxx']	hey girl r hope r well r bak long time give call sum time lucyxx
0	K..k:)how much does it cost?	28	['kkhow', 'much', 'cost']	kkhow much cost
0	I'm home.	9	['home']	home
0	Dear, will call Tmorrow.pls accomodate.	39	['dear', 'call', 'tmorrowpl', 'accomod']	dear call tmorrowpl accomod
0	First answer my question.	25	['first', 'answer', 'question']	first answer question
1	Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone	126	['sunshin', 'quiz', 'wkli', 'q', 'win', 'top', 'soni', 'dvd', 'player', 'know', 'countri', 'algarv', 'txt', 'ansr', 'å£', 'sptyron']	sunshin quiz wkli q win top soni dvd player know countri algarv txt ansr å£ sptyron
1	Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p	162	['get', 'laid', 'tonight', 'real', 'dog', 'locat', 'sent', 'direct', 'ur', 'mob', 'join', 'uk', 'largest', 'dog', 'network', 'bt', 'txting', 'gravel', 'nt']	get laid tonight real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt
